fbase,qrunid,SIDTIME,LSTEND,HA,HAEND,AIRMASS,TELALT,TELAZ,CRVAL1,CRVAL2,JDTDB,OBS_X,OBS_Y,OBS_Z,OBS_VX,OBS_VY,OBS_VZ
wircam_J_1642329p_fixed.fits.fz.fcat,13AQ12,19:33:34.61,19:33:59.73,-0:04:53.92,-0:04:28.80,1.037,74.7015,3.8596,294.601370000,35.0934830000,2456498.905336727,0.5446743525133139,-0.7888674427277296,-0.3420369463838029,0.01447735214749064,0.008500339969857584,0.003641544915909793
wircam_J_1642330p_fixed.fits.fz.fcat,13AQ12,19:34:12.16,19:34:37.33,-0:04:21.26,-0:03:56.09,1.037,74.6758,3.4233,294.621690000,35.1268620000,2456498.905770127,0.5446806269241884,-0.7888637585221306,-0.3420353681291255,0.01447701270037038,0.008501070250882422,0.003641586983276442
wircam_J_1642331p_fixed.fits.fz.fcat,13AQ12,19:34:48.81,19:35:14.33,-0:03:34.83,-0:03:09.31,1.037,74.6692,2.8274,294.580970000,35.1434730000,2456498.906193127,0.5446867506301508,-0.7888601624188206,-0.3420338277291454,0.01447667973057587,0.008501782289642889,0.003641628068028367
wircam_J_1642332p_fixed.fits.fz.fcat,13AQ12,19:35:25.21,19:35:50.38,-0:02:55.99,-0:02:30.82,1.037,74.6841,2.3213,294.570800000,35.1351600000,2456498.906613227,0.5446928322136101,-0.788856590671646,-0.3420322978726065,0.01447634731598071,0.008502488626594156,0.003641668861961584
wircam_J_1642333p_fixed.fits.fz.fcat,13AQ12,19:36:03.96,19:36:29.53,-0:02:27.02,-0:02:01.45,1.037,74.7220,1.9609,294.611550000,35.1017940000,2456498.907060527,0.5446993074043283,-0.7888527873403792,-0.3420306689444069,0.01447599171520316,0.008503240031632369,0.003641712282075857
wircam_J_1642334p_fixed.fits.fz.fcat,13AQ12,19:36:39.81,19:37:04.88,-0:01:49.70,-0:01:24.63,1.037,74.6894,1.4700,294.605440000,35.1384820000,2456498.907474327,0.5447052975013564,-0.7888492685559532,-0.342029161995543,0.01447566102789488,0.008503934383327819,0.003641752463527251
wircam_J_1642335p_fixed.fits.fz.fcat,13AQ12,19:37:17.36,19:37:42.48,-0:01:05.30,-0:00:40.18,1.037,74.7333,0.9063,294.576880000,35.0985050000,2456498.907907727,0.5447115711774816,-0.7888455827933369,-0.3420275836509091,0.01447531306771791,0.008504660910147524,0.003641794570550996
wircam_J_1642336p_fixed.fits.fz.fcat,13AQ12,19:37:52.96,19:38:18.52,-0:00:27.26,-0:00:01.70,1.037,74.7097,0.4063,294.566730000,35.1235200000,2456498.908318627,0.5447175190155847,-0.7888420880867647,-0.3420260872293219,0.01447498155201694,0.008505348987209047,0.003641834452370996
wircam_J_1642337p_fixed.fits.fz.fcat,13AQ12,19:38:27.80,19:38:53.17,-0:00:04.16,0:00:21.21,1.037,74.7204,0.1048,294.615620000,35.1134730000,2456498.908720727,0.544723339340194,-0.78883866795067,-0.3420246228398339,0.01447465575575055,0.00850602174781865,0.003641873527830034
wircam_J_1642338p_fixed.fits.fz.fcat,13AQ12,19:39:06.05,19:39:31.22,0:00:41.43,0:01:06.60,1.037,74.7029,359.5171,294.585030000,35.1301610000,2456498.909162327,0.5447297312688271,-0.7888349115285044,-0.3420230145790109,0.01447429613638722,0.008506759713507509,0.00364191641918302
wircam_J_1642339p_fixed.fits.fz.fcat,13AQ12,19:39:42.55,19:40:08.12,0:01:15.00,0:01:40.57,1.037,74.7248,359.0872,294.597260000,35.1068200000,2456498.909583527,0.5447358277697834,-0.7888313283332378,-0.3420214805952058,0.01447395146334292,0.008507462860265685,0.003641957327681183
wircam_J_1642340p_fixed.fits.fz.fcat,13AQ12,19:40:18.70,19:40:43.81,0:01:49.68,0:02:14.79,1.037,74.7005,358.6409,294.603400000,35.1284890000,2456498.910000827,0.5447418676782549,-0.7888277780237469,-0.3420199607979367,0.01447360835014441,0.008508158683680047,0.003641997857233758
wircam_J_1642341p_fixed.fits.fz.fcat,13AQ12,19:40:54.19,19:41:19.26,0:02:31.04,0:02:56.11,1.037,74.7160,358.0969,294.578920000,35.1084830000,2456498.910410527,0.544747797446303,-0.7888242920913197,-0.3420184686632666,0.01447326994292134,0.00850884119112269,0.00364203765533322
