offax_deg,focusx,focusy,planex,planey
0.1480,0.009782953,3.769974579,0.009783019,3.770
0.1490,0.009849053,3.769974236,0.009849121,3.770
0.1500,0.009915154,3.769973891,0.009915222,3.770
0.1510,0.009981254,3.769973544,0.009981324,3.770
0.1520,0.010047354,3.769973195,0.010047426,3.770
0.1530,0.010113455,3.769972843,0.010113528,3.770
0.1540,0.010179555,3.769972488,0.010179630,3.770
0.1550,0.010245656,3.769972132,0.010245731,3.770
0.1560,0.010311756,3.769971773,0.010311833,3.770
0.1570,0.010377856,3.769971412,0.010377935,3.770
0.1580,0.010443957,3.769971049,0.010444037,3.770
0.1590,0.010510057,3.769970683,0.010510139,3.770
0.1600,0.010576157,3.769970315,0.010576241,3.770
0.1610,0.010642258,3.769969945,0.010642343,3.770
0.1620,0.010708358,3.769969572,0.010708444,3.770
0.1630,0.010774458,3.769969197,0.010774546,3.770
0.1640,0.010840558,3.769968820,0.010840648,3.770
0.1650,0.010906659,3.769968440,0.010906750,3.770
0.1660,0.010972759,3.769968058,0.010972852,3.770
0.1670,0.011038859,3.769967674,0.011038954,3.770
0.1680,0.011104959,3.769967288,0.011105056,3.770
0.1690,0.011171059,3.769966899,0.011171158,3.770
0.1700,0.011237160,3.769966508,0.011237260,3.770
0.1710,0.011303260,3.769966114,0.011303361,3.770
0.1720,0.011369360,3.769965719,0.011369463,3.770
0.1730,0.011435460,3.769965321,0.011435565,3.770
0.1740,0.011501560,3.769964920,0.011501667,3.770
0.1750,0.011567660,3.769964518,0.011567769,3.770
0.1760,0.011633760,3.769964113,0.011633871,3.770
0.1770,0.011699860,3.769963705,0.011699973,3.770
0.1780,0.011765960,3.769963296,0.011766075,3.770
0.1790,0.011832060,3.769962884,0.011832177,3.770
0.1800,0.011898160,3.769962470,0.011898279,3.770
0.1810,0.011964260,3.769962053,0.011964381,3.770
0.1820,0.012030360,3.769961635,0.012030483,3.770
0.1830,0.012096460,3.769961214,0.012096585,3.770
0.1840,0.012162560,3.769960790,0.012162687,3.770
0.1850,0.012228660,3.769960364,0.012228789,3.770
0.1860,0.012294760,3.769959936,0.012294891,3.770
0.1870,0.012360860,3.769959506,0.012360993,3.770
0.1880,0.012426960,3.769959073,0.012427095,3.770
0.1890,0.012493060,3.769958639,0.012493197,3.770
0.1900,0.012559160,3.769958201,0.012559299,3.770
0.1910,0.012625260,3.769957762,0.012625401,3.770
0.1920,0.012691360,3.769957320,0.012691504,3.770
0.1930,0.012757459,3.769956876,0.012757606,3.770
0.1940,0.012823559,3.769956429,0.012823708,3.770
0.1950,0.012889659,3.769955980,0.012889810,3.770
0.1960,0.012955759,3.769955529,0.012955912,3.770
0.1970,0.013021859,3.769955076,0.013022014,3.770
0.1980,0.013087958,3.769954620,0.013088116,3.770
0.1990,0.013154058,3.769954162,0.013154218,3.770
0.2000,0.013220158,3.769953702,0.013220320,3.770
0.2010,0.013286258,3.769953239,0.013286423,3.770
0.2020,0.013352357,3.769952774,0.013352525,3.770
0.2030,0.013418457,3.769952307,0.013418627,3.770
0.2040,0.013484557,3.769951838,0.013484729,3.770
0.2050,0.013550656,3.769951366,0.013550831,3.770
0.2060,0.013616756,3.769950892,0.013616934,3.770
0.2070,0.013682855,3.769950415,0.013683036,3.770
0.2080,0.013748955,3.769949936,0.013749138,3.770
0.2090,0.013815055,3.769949455,0.013815240,3.770
0.2100,0.013881154,3.769948972,0.013881342,3.770
