FILENAME,GMATCHES,GRADELTA,GRASIGMA,GDEDELTA,GDESIGMA
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46656768/SPITZER_I2_46656768_0009_0000_2_clean.fits.fcat[CATALOG],128,1.77084876895605E-05,3.27476028406620E-05,-3.6769051723339E-05,3.26523620221146E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46657280/SPITZER_I2_46657280_0001_0000_2_clean.fits.fcat[CATALOG],135,1.97519039488725E-05,3.69266100314904E-05,-1.9477512701371E-05,3.01319696274471E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46657280/SPITZER_I2_46657280_0002_0000_2_clean.fits.fcat[CATALOG],138,-2.0180061710561E-06,3.24073693825286E-05,-3.7388230193613E-05,3.37344912433866E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46657280/SPITZER_I2_46657280_0003_0000_2_clean.fits.fcat[CATALOG],147,-1.9474479358905E-05,4.13041456371998E-05,9.18998001253612E-07,3.84661779269218E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46657280/SPITZER_I2_46657280_0004_0000_2_clean.fits.fcat[CATALOG],118,-4.5862006345487E-05,3.60265909962062E-05,-3.7258577997079E-05,3.92469733837099E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46657280/SPITZER_I2_46657280_0005_0000_2_clean.fits.fcat[CATALOG],134,4.75123249543685E-06,3.08106997710018E-05,1.87413016590198E-05,2.90210397146870E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46657280/SPITZER_I2_46657280_0006_0000_2_clean.fits.fcat[CATALOG],132,7.52501773604308E-06,3.77500329339362E-05,-5.8111018628181E-05,3.24910466935664E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46657280/SPITZER_I2_46657280_0007_0000_2_clean.fits.fcat[CATALOG],131,-3.7309873846425E-05,3.98255316456253E-05,-2.8884592921940E-06,3.44871083803670E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46657280/SPITZER_I2_46657280_0008_0000_2_clean.fits.fcat[CATALOG],132,2.86681175225567E-05,3.34775591099703E-05,-9.5471607490793E-06,3.47838078787583E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46657280/SPITZER_I2_46657280_0009_0000_2_clean.fits.fcat[CATALOG],132,3.66674871088434E-06,4.11310440302313E-05,-2.4519116278654E-05,3.83053276165516E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46657792/SPITZER_I2_46657792_0001_0000_3_clean.fits.fcat[CATALOG],135,5.70874533423193E-05,3.55745445180533E-05,-1.2623931738176E-05,4.12725509480879E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46657792/SPITZER_I2_46657792_0002_0000_3_clean.fits.fcat[CATALOG],133,5.58288732008804E-05,3.62328615054675E-05,1.99470603909901E-05,3.48011213925936E-05
