FILENAME,FILTER,OFFSET_X,OFFSET_Y,OFFSET_R,REF_SRCS,INT_SRCS,INT_REF,QSOGRADE
aligned_p1/11AQ15_SE/interp_wircam_J_1319382p.fits,J       ,137.530365,-236.359146,273.459778,2955,2672,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319383p.fits,J       ,-137.502777,236.449402,273.523926,2955,2712,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319384p.fits,J       ,-237.170639,-59.395672,244.494904,2955,2554,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319385p.fits,J       ,237.146805,59.011971,244.378845,2955,2445,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319386p.fits,J       ,-59.266418,-138.077652,150.259598,2955,2526,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319387p.fits,J       ,59.279003,138.305222,150.473694,2955,2446,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319388p.fits,J       ,118.368767,-117.678680,166.911469,2955,2798,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319389p.fits,J       ,-118.061958,117.985062,166.910461,2955,2660,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319390p.fits,J       ,-38.876202,275.686310,278.413910,2955,2665,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319391p.fits,J       ,38.971909,-275.927216,278.665833,2955,2906,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319392p.fits,J       ,79.048859,19.898638,81.514893,2955,2929,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319393p.fits,J       ,-79.272911,-19.765303,81.699821,2955,2769,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319394p.fits,J       ,177.093430,-177.573959,250.787949,2955,2580,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319395p.fits,J       ,-177.599869,176.597000,250.456009,2955,2380,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319375p.fits,J       ,0.000000,0.000000,0.000000,2911,2911,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319376p.fits,J       ,-296.068237,98.941162,312.163025,2911,2994,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319377p.fits,J       ,98.355194,295.459442,311.400116,2911,3003,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319378p.fits,J       ,296.550323,-99.395607,312.764404,2911,2803,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319379p.fits,J       ,-98.215881,-295.835571,311.713074,2911,2661,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319380p.fits,J       ,-196.821014,-196.812027,278.340576,2911,2833,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319381p.fits,J       ,197.612122,197.108505,279.109863,2911,2818,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319382p.fits,J       ,138.466675,-237.007904,274.491821,2911,2695,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319383p.fits,J       ,-137.950195,236.851929,274.096863,2911,2747,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319384p.fits,J       ,-236.803802,-58.807182,243.996567,2911,2637,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319385p.fits,J       ,237.298325,58.409691,244.381241,2911,2644,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319386p.fits,J       ,-58.835659,-138.042221,150.057617,2911,2665,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319387p.fits,J       ,58.788303,138.050888,150.047028,2911,2488,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319388p.fits,J       ,118.851799,-118.343773,167.722992,2911,2795,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319389p.fits,J       ,-118.404739,118.188797,167.296967,2911,2777,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319390p.fits,J       ,-39.614998,275.686584,278.518311,2911,2619,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319391p.fits,J       ,39.956768,-276.424774,279.297699,2911,2869,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319392p.fits,J       ,79.002327,19.607925,81.399254,2911,2911,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319393p.fits,J       ,-79.260857,-19.779348,81.691528,2911,2872,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319394p.fits,J       ,177.877243,-178.367554,251.903351,2911,2677,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SW/interp_wircam_J_1319395p.fits,J       ,-177.916855,177.029709,250.985901,2911,2686,wircam_J_1319375p.fits,1
aligned_p1/11BQ02_NE/interp_wircam_J_1325826p.fits,J       ,0.000000,0.000000,0.000000,2408,2408,wircam_J_1325826p.fits,1
aligned_p1/11BQ02_NE/interp_wircam_J_1325827p.fits,J       ,-295.654724,99.380478,311.910553,2408,2500,wircam_J_1325826p.fits,1
aligned_p1/11BQ02_NE/interp_wircam_J_1325828p.fits,J       ,97.672661,295.156281,310.897369,2408,2407,wircam_J_1325826p.fits,2
