filename,jdtdb,obs_x,obs_y,obs_z,obs_vx,obs_vy,obs_vz,lighttime,range,range_rate
dummy_20121224.fits,2456285.5,0.9364882912641611,0.361671782599336,0.1770765267183194,-0.006853355543564125,0.01417776403215731,0.006286389699995796,0.005887553569465251,1.019398300134974,-0.000173845667526139
dummy_20121225.fits,2456286.5,0.9295050943994092,0.3757983922146734,0.1833379118301126,-0.007112734049497858,0.01407479391241431,0.006236087117968849,0.005886545138756742,1.019223695770371,-0.0001753554412253574
dummy_20121226.fits,2456287.5,0.9222634435277961,0.389820052008653,0.189548116016767,-0.007370251477277537,0.01396786851305902,0.006184029853792657,0.005885528121145094,1.019047604629579,-0.0001768190886202722
dummy_20121227.fits,2456288.5,0.9147652357319251,0.4037328192747789,0.1957053909028079,-0.007625836058821863,0.01385701328372544,0.006130230681982055,0.005884502784634756,1.018870073116129,-0.0001782361589418102
dummy_20121228.fits,2456289.5,0.9070124393352491,0.4175327775639143,0.2018080011491879,-0.007879416827416504,0.0137422550871597,0.006074702760602616,0.005883469398675858,1.018691147883865,-0.0001796064678956258
dummy_20121229.fits,2456290.5,0.8990070939061597,0.4312160376373523,0.2078542245588577,-0.008130922360823448,0.01362362154965014,0.006017459288561173,0.005882428235519714,1.018510876071641,-0.0001809292856468038
dummy_20121230.fits,2456291.5,0.8907513098192223,0.4447787384736744,0.2138423526020182,-0.00838028229779215,0.01350114146928601,0.005958514447168886,0.005881379569849371,1.018329305239351,-0.0001822043364550326
dummy_20121231.fits,2456292.5,0.8822472681819133,0.4582170482050099,0.2197706912428357,-0.008627425811431172,0.01337484442201474,0.005897882917514048,0.005880323680524003,1.018146483669965,-0.0001834306945655651
dummy_20130101.fits,2456293.5,0.8734972200719711,0.4715271653253367,0.2256375610825738,-0.008872283716614329,0.01324476147957651,0.005835579317047075,0.00587926084877164,1.017962460056608,-0.0001846084202993529
dummy_20130102.fits,2456294.5,0.8645042450833027,0.4847050780641677,0.2314410898289387,-0.00911478325975484,0.01311093123350698,0.005771624734935515,0.005878194143629172,1.017777765786544,-0.0001857407006313608
dummy_20130103.fits,2456295.5,0.8552692174257239,0.497747539969661,0.237180050744,-0.009354862257034037,0.01297337601351462,0.005706025324562352,0.005877118258357898,1.01759148202645,-0.0001868179453171194
dummy_20130104.fits,2456296.5,0.845795351078873,0.5106505997172047,0.2428525985084368,-0.009592449427480046,0.01283213189356904,0.005638800927553971,0.005876036293439368,1.017404145608064,-0.0001878465182368909
dummy_20130105.fits,2456297.5,0.8360851718753428,0.523410586396341,0.2484571169314812,-0.009827476719867652,0.01268723578693417,0.005569969516341657,0.00587494853332924,1.017215805783358,-0.0001888247026099014
dummy_20130106.fits,2456298.5,0.8261412732196552,0.5360238661893485,0.2539920074864642,-0.01005987728806284,0.01253872434314925,0.005499548025132314,0.005873855269853572,1.017026513080447,-0.0001897522690340348
dummy_20130107.fits,2456299.5,0.8159663152635689,0.5484868423032249,0.2594556888917449,-0.01028958422611258,0.01238663470728853,0.005427554231229048,0.005872756796721992,1.016836318353578,-0.0001906286623042959
dummy_20130108.fits,2456300.5,0.8055630246166047,0.5607959556910385,0.2648465979996389,-0.01051653202817409,0.01223100763427064,0.00535400756103554,0.005871653410517852,1.016645272954564,-0.0001914522702671479
dummy_20130109.fits,2456301.5,0.7949341932516374,0.5729476880984027,0.2701631911341106,-0.01074065437354117,0.01207187702452818,0.005278924468916891,0.005870545416263926,1.016453429696463,-0.0001922255375672219
dummy_20130110.fits,2456302.5,0.784082679253623,0.5849385562087333,0.2754039414929914,-0.01096188656610933,0.01190928585040661,0.005202325175835715,0.005869433106728861,1.016260839270594,-0.0001929465858418051
dummy_20130111.fits,2456303.5,0.7730114046704855,0.5967651201156652,0.2805673426747792,-0.01118016493798991,0.01174327563272468,0.00512422939306158,0.005868316783597596,1.016067553912085,-0.0001936153603412113
dummy_20130112.fits,2456304.5,0.7617233554534304,0.6084239826497735,0.2856519077368508,-0.0113954253606477,0.01157389016779541,0.005044656354979534,0.005867196753075996,1.015873626638839,-0.0001942304387472403
dummy_20130113.fits,2456305.5,0.7502215805344662,0.6199117885430914,0.2906561703287029,-0.01160760588060875,0.01140116968494784,0.004963627884469083,0.00586607331961247,1.015679110164463,-0.0001947936757541392
dummy_20130114.fits,2456306.5,0.7385091910720244,0.6312252255611858,0.2955786851015691,-0.01181664415048593,0.01122515991247738,0.004881164236644906,0.005864946785768376,1.015484056875832,-0.0001953040098190036
dummy_20130115.fits,2456307.5,0.7265893598159772,0.6423610291897909,0.3004180281413135,-0.01202247895996554,0.01104590886898613,0.004797287562416784,0.005863817465806787,1.015288521185911,-0.0001957593604462299
dummy_20130116.fits,2456308.5,0.7144653214133759,0.6533159770371835,0.305172796224439,-0.01222504871085938,0.01086345782653612,0.004712018442793673,0.005862685664325091,1.015092555834103,-0.0001961623571759385
dummy_20130117.fits,2456309.5,0.7021403705298864,0.6640868949828365,0.3098416081384055,-0.0124242947771087,0.01067785771234502,0.004625377986857426,0.005861551691189014,1.014896214471994,-0.0001965117305317524
dummy_20130118.fits,2456310.5,0.6896178605634188,0.6746706575231314,0.314423104435344,-0.01262015630880171,0.01048915444122449,0.004537391968439843,0.005860415856374956,1.014699550770336,-0.0001968066320919385
dummy_20130119.fits,2456311.5,0.6769012051375354,0.6850641862315678,0.318915950653953,-0.01281257613928574,0.01029739831877475,0.004448081738789053,0.005859278474456597,1.014502619195871,-0.0001970475087499105
dummy_20130120.fits,2456312.5,0.663993874315464,0.6952644551118071,0.3233188349347456,-0.01300149711926787,0.01010264174899895,0.00435747157463161,0.005858139864764221,1.014305475038925,-0.0001972325945865865
dummy_20130121.fits,2456313.5,0.6508993963176365,0.7052684855270883,0.3276304680934288,-0.0131868615460164,0.009904931455513898,0.004265583958455359,0.00585700033719056,1.014108171955761,-0.0001973644915609686
dummy_20130122.fits,2456314.5,0.637621355021877,0.7150733523108501,0.3318495858438097,-0.01336861448376422,0.009704323445958243,0.004172444928411078,0.005855860209148645,1.013910764904742,-0.0001974403162216908
dummy_20130123.fits,2456315.5,0.6241633898362349,0.7246761825648187,0.3359749480143265,-0.01354670009033393,0.009500867079785865,0.004078076859957432,0.00585471979792015,1.013713308821487,-0.0001974626359130716
dummy_20130124.fits,2456316.5,0.6105291952393106,0.7340741555446981,0.3400053386669449,-0.01372106460957029,0.009294617966917482,0.003982506070669923,0.005853579417032,1.0135158579915,-0.0001974299384197604
dummy_20130125.fits,2456317.5,0.5967225186218489,0.7432645058367331,0.3439395677918485,-0.01389165526441223,0.00908563079493371,0.003885758157818537,0.005852439383442724,1.013318467294448,-0.0001973423551485146
dummy_20130126.fits,2456318.5,0.5827471600490135,0.7522445230367405,0.3477764711560722,-0.01405841998370036,0.00887396129689583,0.003787858797942882,0.005851300014066575,1.013121191602335,-0.0001971998737344996
dummy_20130127.fits,2456319.5,0.568606971289968,0.761011553227035,0.3515149104037716,-0.01422130704809852,0.008659666211629306,0.003688834390832259,0.00585016162756539,1.012924086089745,-0.000197001933922667
dummy_20130128.fits,2456320.5,0.5543058549799813,0.7695629992658486,0.3551537736960288,-0.01438026680074529,0.00844280262768838,0.003588711349906357,0.005849024542718811,1.012727205951665,-0.000196749126179196
dummy_20130129.fits,2456321.5,0.5398477635573522,0.7778963218165831,0.3586919759521964,-0.01453524914947092,0.008223429018005659,0.003487516848279311,0.005847889078488017,1.01253060641451,-0.0001964407293255847
dummy_20130130.fits,2456322.5,0.5252366979964272,0.7860090415499471,0.3621284597994572,-0.01468620725057877,0.008001606913931637,0.003385279111913346,0.005846755560388938,1.012334343839615,-0.0001960752507566188
dummy_20130131.fits,2456323.5,0.5104767070545068,0.7938987372026031,0.3654621948840814,-0.01483309197620841,0.007777390908064037,0.00328202400456057,0.005845624306874945,1.012138473365473,-0.000195656459714475
dummy_20130201.fits,2456324.5,0.4955718868586114,0.8015630464924169,0.3686921782583475,-0.01497585814909575,0.007550844346270866,0.003177780416690624,0.00584449563111474,1.011943049215564,-0.0001951826229589649
dummy_20130202.fits,2456325.5,0.4805248580620502,0.8089998138165885,0.3718170456861047,-0.01511446133251709,0.007322005489554043,0.003072580798660509,0.00584336551855723,1.011747376291914,-0.000194648781013726
dummy_20130203.fits,2456326.5,0.4653428472448456,0.8162064892875065,0.3748366356413709,-0.01524885537959914,0.007090982912235034,0.002966446278331981,0.005842242981068319,1.011553014950733,-0.0001940647356018463
dummy_20130204.fits,2456327.5,0.4500285642874564,0.8231810652339835,0.3777496371434711,-0.01537899850124397,0.006857817014893494,0.002859408801730832,0.005841123975518663,1.011359265145877,-0.0001934256892056253
dummy_20130205.fits,2456328.5,0.434586281134498,0.8299214300166394,0.3805551624111073,-0.01550484895163497,0.006622571217514806,0.002751498907797673,0.00584000881960892,1.01116618188551,-0.0001927316794969464
dummy_20130206.fits,2456329.5,0.4190203107690702,0.836425535922705,0.3832523539239038,-0.0156263661300575,0.006385310109930415,0.002642746204216776,0.005838897830136892,1.010973820021471,-0.0001919828722004784
dummy_20130207.fits,2456330.5,0.4033350064550002,0.8426914003301822,0.3858403836772775,-0.01574351041825466,0.00614609916888739,0.002533180337438289,0.005837791323639692,1.010782234360462,-0.0001911793471266965
dummy_20130208.fits,2456331.5,0.3875347604734879,0.8487171062417816,0.3883184537653111,-0.0158562431866525,0.005905004211903661,0.002422831916112946,0.005836689615730178,1.010591479549154,-0.0001903211918666925
dummy_20130209.fits,2456332.5,0.3716240030328138,0.8545008030605574,0.3906857962058975,-0.01596452753049765,0.005662092156622241,0.002311730440960075,0.005835593020461858,1.010401609964229,-0.0001894089268537377
dummy_20130210.fits,2456333.5,0.3556072004986913,0.8600407072573759,0.3929416741818754,-0.01606832697294361,0.005417430256460474,0.00219990768445561,0.005834501851024919,1.010212679832885,-0.0001884423126803808
dummy_20130211.fits,2456334.5,0.3394888555249841,0.8653351029453871,0.3950853816017618,-0.01616760707202568,0.005171086319716383,0.00208739532893554,0.005833416420398121,1.010024743345715,-0.0001874216743790696
dummy_20130212.fits,2456335.5,0.3232735043190974,0.8703823424688697,0.3971162449544923,-0.01626233210792688,0.004923130179779499,0.001974224711561852,0.005832337041307189,1.009837854649499,-0.0001863455660298391
dummy_20130213.fits,2456336.5,0.3069657179277488,0.8751808481875314,0.3990336210681547,-0.01635247393514769,0.004673629696589734,0.001860425839444324,0.005831264030949121,1.009652068665196,-0.0001852175078753322
dummy_20130214.fits,2456337.5,0.2905700952412092,0.8797291105400938,0.4008368983241613,-0.01643799946079818,0.004422655283920803,0.001746032049358505,0.005830197689885126,1.009467437433365,-0.0001840360489317904
dummy_20130215.fits,2456338.5,0.2740912676794739,0.8840256900413572,0.4025254973512714,-0.016518878754584,0.004170274770581005,0.001631074717431328,0.005829138320973126,1.00928401339223,-0.0001828040694821656
dummy_20130216.fits,2456339.5,0.2575338957450001,0.88806921775117,0.4040988721246856,-0.01659508375203438,0.003916564518766686,0.001515589206114915,0.005828086226533983,1.009101848887026,-0.0001815161589778938
dummy_20130217.fits,2456340.5,0.2409026673755412,0.8918583987970862,0.4055565099269284,-0.01666658721280004,0.003661593485513911,0.00139960614404866,0.005827041722333476,1.008920998590902,-0.0001801756825118748
dummy_20130218.fits,2456341.5,0.2242022977662054,0.8953920087111048,0.4068979296875992,-0.016733360635937,0.003405434930174069,0.001283159194954947,0.005826005113530474,1.00874151534048,-0.0001787810441374377
dummy_20130219.fits,2456342.5,0.2074375281660036,0.8986688957490514,0.4081226838771216,-0.01679538457948956,0.003148159333135476,0.001166280007099847,0.005824976707342703,1.008563452328859,-0.0001773362530170917
dummy_20130220.fits,2456343.5,0.1906131204236584,0.9016879796826425,0.4092303568771284,-0.01685263313853152,0.002889840894651131,0.001049002426241777,0.005823956794969672,1.00838685997567,-0.000175839810860654
dummy_20130221.fits,2456344.5,0.1737338616290567,0.9044482546748325,0.41022056744772,-0.01690508248797,0.002630553999930603,0.000931361107429274,0.005822945676613961,1.00821179025938,-0.0001742905681494313
dummy_20130222.fits,2456345.5,0.1568045595686357,0.9069487888433085,0.4110929680002927,-0.01695271685927707,0.002370371275151701,0.000813387651658805,0.005821943650527795,1.008038294820761,-0.0001726918516311595
dummy_20130223.fits,2456346.5,0.1398300401867317,0.9091887237351602,0.4118472436927709,-0.01699551434084966,0.002109367945780734,0.0006951170306162276,0.005820951004634128,1.007866423512126,-0.0001710423778768435
dummy_20130224.fits,2456347.5,0.1228151493797338,0.9111672762616518,0.4124831144908509,-0.01703345580577685,0.001847619449915532,0.0005765840547392553,0.005819968031779859,1.007696227038345,-0.0001693415597366191
dummy_20130225.fits,2456348.5,0.1057647506546712,0.9128837385967788,0.4130003347647939,-0.01706652867217783,0.001585199776349733,0.0004578211850982443,0.005818995024441492,1.007527756040154,-0.0001675921557262232
dummy_20130226.fits,2456349.5,0.08868372035489304,0.9143374774880022,0.4133986919525384,-0.01709471642575379,0.001322185150106637,0.0003388635863823463,0.005818032263529199,1.007361059155643,-0.0001657934374655379
dummy_20130227.fits,2456350.5,0.07157695217776698,0.9155279365919725,0.4136780090996088,-0.01711800340637734,0.001058652459457152,0.0002197464781012302,0.005817080038128335,1.007196186438387,-0.0001639445483194691
dummy_20130228.fits,2456351.5,0.05444934980420197,0.9164546345857176,0.4138381427904783,-0.01713638194066307,0.0007946761469870213,0.0001005028218524912,0.005816138625164113,1.007033185836501,-0.0001620485977216383
dummy_20130301.fits,2456352.5,0.03730582960470047,0.9171171672516705,0.4138789847705643,-0.01714983750333693,0.0005303345441184569,-1.883115749373598e-05,0.00581520830442264,1.00687210579345,-0.000160103572507545
dummy_20130302.fits,2456353.5,0.02015045402206095,0.9175146053682126,0.4138005028728926,-0.01715835891937675,0.0002656970738142815,-0.0001382345215927966,0.005814286183799604,1.006712445556893,-0.0001581079998789177
dummy_20130303.fits,2456354.5,0.002989888688038137,0.9176478949988773,0.4136025623224916,-0.01716194642986659,8.542751920255088e-07,-0.0002576464358379804,0.005813378891529249,1.006555352770014,-0.0001560685274458048
dummy_20130304.fits,2456355.5,-0.01417179320619708,0.9175162678315633,0.4132852138244867,-0.0171605927322441,-0.0002641245967945687,-0.0003770455135028805,0.005812483512212447,1.006400322647103,-0.0001539840309851325
dummy_20130305.fits,2456356.5,-0.03132964718944107,0.917119626700415,0.4128484873900429,-0.01715429027027818,-0.0005291606814091471,-0.0004963963319118302,0.005811600304676914,1.006247400002788,-0.0001518535694310947
dummy_20130306.fits,2456357.5,-0.04847872348189294,0.9164579533002862,0.4122924490434173,-0.01714303683102591,-0.0007941761933256895,-0.0006156635549934422,0.00581072953389127,1.006096630714964,-0.0001496774532401239
