filename,jdtdb,x,y,z,vx,vy,vz,lighttime,range,range_rate
SPITZER_I2_44501760_0007_0000_2_cbcd.fits,2456220.012655618,0.800292350288601,-0.641764735117366,0.00179226564007341,0.0105611926856597,0.01317968525453968,0.0003332567980754328,0.005924716422417476,1.025832848658514,-5.476735660554286e-06
SPITZER_I1_44501760_0008_0000_2_cbcd.fits,2456220.012887007,0.8002947940260668,-0.6417616854790567,0.001792342752002567,0.01056114180092817,0.01317972582619228,0.000333256682243292,0.005924716415097938,1.025832847391175,-5.477449791578619e-06
SPITZER_I2_44501760_0008_0000_2_cbcd.fits,2456220.012887007,0.8002947940260668,-0.6417616854790567,0.001792342752002567,0.01056114180092817,0.01317972582619228,0.000333256682243292,0.005924716415097938,1.025832847391175,-5.477449791578619e-06
SPITZER_I1_44501760_0009_0000_2_cbcd.fits,2456220.01311387,0.8002971899547718,-0.6417586954798441,0.001792418355665172,0.01056109191130786,0.01317976560411075,0.0003332565686733075,0.005924716407920637,1.025832846148464,-5.478149954687868e-06
SPITZER_I2_44501760_0009_0000_2_cbcd.fits,2456220.01311387,0.8002971899547718,-0.6417586954798441,0.001792418355665172,0.01056109191130786,0.01317976560411075,0.0003332565686733075,0.005924716407920637,1.025832846148464,-5.478149954687868e-06
SPITZER_I1_46439168_0000_0000_2_cbcd.fits,2456249.931970137,1.007123254131892,-0.1865105230302939,0.01114050366904773,0.00297976374511663,0.01662790730961552,0.0002788043260953917,0.005915911480937325,1.024308320300214,-9.487798463186029e-05
SPITZER_I2_46439168_0000_0000_2_cbcd.fits,2456249.931970137,1.007123254131892,-0.1865105230302939,0.01114050366904773,0.00297976374511663,0.01662790730961552,0.0002788043260953917,0.005915911480937325,1.024308320300214,-9.487798463186029e-05
SPITZER_I1_46439168_0001_0000_2_cbcd.fits,2456249.932002463,1.007123350457594,-0.1865099855053581,0.01114051268186217,0.002979754795839268,0.01662790894358826,0.000278804226920061,0.005915911463223284,1.024308317233123,-9.487807417408287e-05
SPITZER_I2_46439168_0001_0000_2_cbcd.fits,2456249.932002463,1.007123350457594,-0.1865099855053581,0.01114051268186217,0.002979754795839268,0.01662790894358826,0.000278804226920061,0.005915911463223284,1.024308317233123,-9.487807417408287e-05
SPITZER_I2_46439168_0002_0000_2_cbcd.fits,2456249.932464512,1.007124727219835,-0.1865023025964593,0.01114064150266182,0.00297962688273305,0.01662793229762032,0.0002788028093880621,0.00591591121003273,1.024308273394538,-9.48793540087444e-05
SPITZER_I1_46439168_0002_0000_2_cbcd.fits,2456249.932464512,1.007124727219835,-0.1865023025964593,0.01114064150266182,0.00297962688273305,0.01662793229762032,0.0002788028093880621,0.00591591121003273,1.024308273394538,-9.48793540087444e-05
SPITZER_I1_46439168_0003_0000_2_cbcd.fits,2456249.932936572,1.007126133751474,-0.1864944532101207,0.01114077311395719,0.002979496197931783,0.01662795615666152,0.0002788013611253149,0.005915910951352747,1.024308228605487,-9.488066156839288e-05
SPITZER_I2_46439168_0003_0000_2_cbcd.fits,2456249.932936572,1.007126133751474,-0.1864944532101207,0.01114077311395719,0.002979496197931783,0.01662795615666152,0.0002788013611253149,0.005915910951352747,1.024308228605487,-9.488066156839288e-05
SPITZER_I2_46439168_0004_0000_2_cbcd.fits,2456249.93340428,1.007127527256399,-0.1864866761709155,0.01114090351134185,0.002979366717636714,0.01662797979476085,0.0002787999261962365,0.005915910695053846,1.024308184228708,-9.488195706946928e-05
SPITZER_I1_46439168_0004_0000_2_cbcd.fits,2456249.93340428,1.007127527256399,-0.1864866761709155,0.01114090351134185,0.002979366717636714,0.01662797979476085,0.0002787999261962365,0.005915910695053846,1.024308184228708,-9.488195706946928e-05
SPITZER_I2_46439168_0005_0000_2_cbcd.fits,2456249.933867104,1.007128906149209,-0.1864789803371645,0.01114103254631394,0.002979238589330494,0.01662800318502434,0.000278798506235669,0.005915910441428052,1.024308140314763,-9.488323903667215e-05
SPITZER_I1_46439168_0005_0000_2_cbcd.fits,2456249.933867104,1.007128906149209,-0.1864789803371645,0.01114103254631394,0.002979238589330494,0.01662800318502434,0.000278798506235669,0.005915910441428052,1.024308140314763,-9.488323903667215e-05
SPITZER_I1_46439168_0006_0000_2_cbcd.fits,2456249.934306966,1.007130216574257,-0.1864716663167842,0.01114115517869714,0.002979116817849483,0.01662802541389211,0.0002787971567106535,0.005915910200382548,1.024308098579028,-9.488445739526157e-05
SPITZER_I2_46439168_0006_0000_2_cbcd.fits,2456249.934306966,1.007130216574257,-0.1864716663167842,0.01114115517869714,0.002979116817849483,0.01662802541389211,0.0002787971567106535,0.005915910200382548,1.024308098579028,-9.488445739526157e-05
SPITZER_I1_46439168_0007_0000_2_cbcd.fits,2456249.934756005,1.007131554286109,-0.1864641996790873,0.01114128036919599,0.002978992505430785,0.01662804810565651,0.0002787957790119778,0.005915909954304432,1.024308055971923,-9.488570117071555e-05
SPITZER_I2_46439168_0007_0000_2_cbcd.fits,2456249.934756005,1.007131554286109,-0.1864641996790873,0.01114128036919599,0.002978992505430785,0.01662804810565651,0.0002787957790119778,0.005915909954304432,1.024308055971923,-9.488570117071555e-05
SPITZER_I2_46439168_0008_0000_2_cbcd.fits,2456249.93520979,1.007132906079903,-0.1864566541140466,0.0111414068822399,0.002978866878942308,0.01662807103632331,0.0002787943867360283,0.005915909705622171,1.024308012913924,-9.488695808752883e-05
SPITZER_I1_46439168_0008_0000_2_cbcd.fits,2456249.93520979,1.007132906079903,-0.1864566541140466,0.0111414068822399,0.002978866878942308,0.01662807103632331,0.0002787943867360283,0.005915909705622171,1.024308012913924,-9.488695808752883e-05
SPITZER_I2_46439168_0009_0000_2_cbcd.fits,2456249.93564494,1.007134202308295,-0.1864494184003525,0.01114152819939049,0.002978746411179874,0.01662809302445349,0.0002787930516189822,0.005915909467149033,1.02430797162358,-9.488816338459923e-05
SPITZER_I1_46439168_0009_0000_2_cbcd.fits,2456249.93564494,1.007134202308295,-0.1864494184003525,0.01114152819939049,0.002978746411179874,0.01662809302445349,0.0002787930516189822,0.005915909467149033,1.02430797162358,-9.488816338459923e-05
SPITZER_I1_46987520_0000_0000_2_cbcd.fits,2456260.060390232,1.022986695652164,-0.01629791927869904,0.01379400094767502,0.0001443443216022237,0.01690409582892766,0.0002439209945913712,0.005909565210677151,1.023209497667165,-0.0001216511599633164
SPITZER_I1_46987520_0001_0000_2_cbcd.fits,2456260.060410938,1.022986698640843,-0.01629756926875904,0.01379400599821185,0.0001443384870807939,0.01690409590830057,0.0002439209158103913,0.005909565196129405,1.023209495148301,-0.0001216512118193945
SPITZER_I1_46987520_0002_0000_2_cbcd.fits,2456260.060563438,1.022986720649236,-0.01629499138823451,0.01379404319619174,0.0001442955148744103,0.01690409649283362,0.0002439203355747004,0.005909565088982674,1.023209476596419,-0.0001216515937474964
SPITZER_I1_46987520_0003_0000_2_cbcd.fits,2456260.061734225,1.022986889395426,-0.01627520028870342,0.01379432877234894,0.000143965605362181,0.01690410097685302,0.0002439158808932161,0.005909564266376612,1.023209334166595,-0.0001216545258912365
SPITZER_I1_46987520_0004_0000_2_cbcd.fits,2456260.062900938,1.022987057170178,-0.01625547805244061,0.01379461334957826,0.000143636843708995,0.01690410543892979,0.0002439114416201162,0.005909563446613308,1.023209192228979,-0.0001216574477910308
SPITZER_I1_46987520_0005_0000_2_cbcd.fits,2456260.064072188,1.022987225211537,-0.01623567911807597,0.01379489902821908,0.0001433068034660071,0.01690410991199282,0.0002439069849909719,0.005909562623642425,1.023209049735988,-0.0001216603810121395
SPITZER_I1_46987520_0006_0000_2_cbcd.fits,2456260.065243519,1.022987392877921,-0.01621587880882134,0.01379518472140222,0.0001429767402403791,0.01690411437898706,0.0002439025279601005,0.00590956180059477,1.023208907229704,-0.0001216633143951377
SPITZER_I1_46987520_0007_0000_2_cbcd.fits,2456260.066414757,1.022987560144472,-0.01619608006078526,0.01379547038676344,0.0001426467029758613,0.01690411883925022,0.0002438980711884195,0.005909560977592383,1.023208764731258,-0.0001216662475050473
SPITZER_I1_46987520_0008_0000_2_cbcd.fits,2456260.06758147,1.022987726380443,-0.01617635780369946,0.01379575494321369,0.0001423179407216709,0.01690412327593957,0.0002438936315432386,0.005909560157750095,1.023208622779966,-0.0001216691692415734
SPITZER_I1_46987520_0009_0000_2_cbcd.fits,2456260.068752767,1.022987892883648,-0.01615655806130066,0.0137960406123512,0.0001419878867541952,0.01690412772369333,0.0002438891743635753,0.005909559334667199,1.02320848026758,-0.0001216721024153625
SPITZER_I1_46987520_0010_0000_2_cbcd.fits,2456260.069924051,1.022988058998613,-0.01613675851048595,0.01379632627342877,0.0001416578359165578,0.01690413216502488,0.000243884717134782,0.005909558511572644,1.023208337753176,-0.0001216750355189727
SPITZER_I1_46987520_0011_0000_2_cbcd.fits,2456260.071095197,1.022988224707317,-0.01611696130808192,0.0137966118953295,0.0001413278241622306,0.01690413659945163,0.0002438802603424223,0.005909557688556094,1.023208195252278,-0.0001216779682328994
SPITZER_I1_46987520_0012_0000_2_cbcd.fits,2456260.072266528,1.022988390055726,-0.01609716095971822,0.01379689755732246,0.000140997759902165,0.01690414102820393,0.0002438758027495885,0.005909556865389134,1.023208052725337,-0.0001216809013710637
SPITZER_I1_46987520_0013_0000_2_cbcd.fits,2456260.073433206,1.02298855436294,-0.01607743926713077,0.01379718207927449,0.0001406690067404798,0.01690414543302158,0.0002438713627725967,0.005909556045472646,1.023207910761198,-0.0001216838228159481
SPITZER_I1_46987520_0014_0000_2_cbcd.fits,2456260.074604491,1.02298871893312,-0.01605763969558831,0.0137974677194894,0.0001403389553023675,0.01690414984886682,0.0002438669051705335,0.005909555222298806,1.023207768233065,-0.0001216867557556038
SPITZER_I1_46987520_0015_0000_2_cbcd.fits,2456260.075775776,1.022988883116716,-0.01603784011887739,0.01379775335448314,0.0001400089037142885,0.01690415425833409,0.0002438624474750777,0.005909554399105124,1.023207625701498,-0.000121689688654226
SPITZER_I1_46988032_0000_0000_2_cbcd.fits,2456260.079878241,1.022989455127115,-0.01596849138217013,0.01379875375966756,0.000138852885533757,0.0169041696523532,0.0002438468335076423,0.0059095515156846,1.023207126452711,-0.0001216999609085958
SPITZER_I1_46988032_0001_0000_2_cbcd.fits,2456260.079899075,1.022989458019806,-0.0159681392138784,0.01379875883978154,0.0001388470150146137,0.01690416973032773,0.0002438467542135601,0.005909551501041336,1.023207123917308,-0.000121700013072077
SPITZER_I1_46988032_0002_0000_2_cbcd.fits,2456260.080051436,1.022989479171421,-0.01596556367571074,0.01379879599250038,0.0001388040817162757,0.01690417030052327,0.0002438461743054512,0.005909551393949487,1.023207105374929,-0.0001217003945626832
SPITZER_I1_46988032_0003_0000_2_cbcd.fits,2456260.081222408,1.022989641513975,-0.01594576935691932,0.01379908152702164,0.0001384741174790623,0.01690417467916292,0.0002438417173650659,0.005909550570883172,1.023206962865414,-0.0001217033264881207
