gid,xmeas,ymeas,xcalc,ycalc,rdist,xnudge,ynudge,xerror,yerror,rerror,scaled_xerror,scaled_yerror,scaled_rerror,mag,flux,fwhm,flags,wflag,dumbsnr,realerr,qq,rr_hi_mask,inner_mask,masked
2048075878333714688,2008.133945531392,1862.7887280422879,2008.1838880672753,1862.8044670747954,2108.006187068936,12.155025630270737,-1.4993849464660467,0.04994253588324682,0.01573903250755393,0.05236386191566886,0.050008168213959675,0.015759716066535617,0.05243267624881938,14.178752,21305.875,2.181471,0,3,282.79767,0.02036468,SW,False,False,False
2048064470887334272,1505.56321516193,1856.9218948575237,1505.5719002535795,1856.9017613254327,1616.622964136797,6.828068316027776,-1.1317480215058604,0.008685091649567767,-0.020133532090994777,0.021926922525071963,0.008696505223134565,-0.020159990712152964,0.021955737942736076,15.395323,6948.176,2.3392777,0,2,159.49783,0.038719606,SW,False,False,False
2048064329154374144,1110.0194659201325,1845.6605866683035,1110.0163266071474,1845.717585883015,1233.4116170553496,3.9458789082877455,-0.9051058951915243,-0.003139312985013021,0.056999214711595414,0.057085600318788156,-0.0031434385349956087,0.057074120625845944,0.0571606197572849,14.938082,10586.867,2.2755756,0,2,198.1271,0.030321544,SW,False,False,False
2048157306600350848,378.00874023578103,1858.9623678248308,377.971008165704,1858.9606412233527,541.1979866487648,1.0142424063790245,-0.5635465447685118,-0.03773207007702695,-0.0017266014781398553,0.037771553647712015,-0.03778165593921795,-0.0017288705034750424,0.03782119139751191,15.907791,4333.9473,2.8773994,0,2,124.60435,0.060963646,SW,False,False,False
2048060244652584064,712.1528626230998,1051.6814556153263,712.0978961016401,1051.7427768715224,1336.729798783703,2.8426356948105904,-3.765612589636458,-0.054966521459732576,0.06132125619615181,0.08235056127833816,-0.05503875609601564,0.06140184195126448,0.08245878284091247,14.577754,14753.612,2.4694662,0,2,234.69394,0.027778266,SW,False,False,False
2048076251983589120,1840.6966103180123,1854.7401743121166,1840.6771630172786,1854.7233663675806,1944.929279069541,10.178151952029722,-1.4065809021256597,-0.019447300733645534,-0.01680794453591261,0.0257041729170025,-0.019472857539095036,-0.016830032813067042,0.0257379522345272,15.351753,7232.671,2.2334394,0,2,162.84734,0.03620741,SW,False,False,False
2048157615855488384,172.0257347212996,1851.9145926993006,172.05464654452115,1851.8135244428377,380.1665968469397,0.5528662427048917,-0.557799936347561,0.028911823221534405,-0.10106825646289508,0.10512224306226912,0.028949817895005198,-0.10120107601471462,0.10526039018876003,15.679137,5349.8936,3.166005,0,2,139.19942,0.060045175,SW,False,False,False
2048064333461536768,1172.9478640790157,1815.6558738776478,1172.9772432726686,1815.6707724747675,1301.1542817702475,4.353809626957359,-1.0522115666536902,0.029379193652857793,0.014898597119781698,0.03294093526039731,0.029417802524429895,0.01491817621475615,0.032984224819462865,14.22706,20378.67,2.2796204,0,2,276.499,0.021765713,SW,False,False,False
2048157448352080128,823.04747048703,1847.660405978574,823.0306168482697,1847.6676452153304,956.7317015461927,2.485004730198683,-0.7427123322085329,-0.01685363876026713,0.007239236756277023,0.01834261944965906,-0.016875787086804147,0.007248750249584759,0.01836672453051988,11.444212,264432.72,2.5530531,0,2,1001.9208,0.006727139,SW,False,False,False
2048157375319824256,701.3635383244206,1846.967484339143,701.4058990207664,1846.9722246575752,841.6230715357942,2.001087081917225,-0.6910338218306818,0.042360696345781435,0.004740318432141066,0.04262510074753603,0.042416364949360005,0.004746547954561591,0.042681116819997214,16.744415,2005.5518,2.7641907,0,2,82.07979,0.08890695,SW,False,False,False
2048075878320667136,2005.955480206913,1854.183047727165,2005.9863934531704,1854.2140439182979,2106.909085814911,12.134899036383993,-1.5480572789147138,0.030913246257341598,0.030996191132771855,0.04377662228754486,0.030953871114808042,0.03103692499282295,0.043834151640042784,15.820072,4698.6284,2.2265227,0,3,130.03009,0.04520508,SW,False,False,False
