FILENAME DATE_OBS CRPIX1 CRPIX2 CRVAL1 CRVAL2 CRDER1 CRDER2 A_ORDER A_0_2 A_0_3 A_0_4 A_0_5 A_1_1 A_1_2 A_1_3 A_1_4 A_2_0 A_2_1 A_2_2 A_2_3 A_3_0 A_3_1 A_3_2 A_4_0 A_4_1 A_5_0 A_DMAX B_ORDER B_0_2 B_0_3 B_0_4 B_0_5 B_1_1 B_1_2 B_1_3 B_1_4 B_2_0 B_2_1 B_2_2 B_2_3 B_3_0 B_3_1 B_3_2 B_4_0 B_4_1 B_5_0 B_DMAX
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576960_0011_0000_6_cbcd.fits 2006-09-28T16:12:52.765 128. 128. 63.8353247450251 -9.58281335588323 4.18317090491093E-05 4.19071806421852E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576960_0012_0000_6_cbcd.fits 2006-09-28T16:13:23.964 128. 128. 63.8353077670679 -9.58280494566876 4.16326388985418E-05 4.16552925988015E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576960_0013_0000_6_cbcd.fits 2006-09-28T16:14:03.577 128. 128. 63.8297576161599 -9.58117707367461 4.14946331451269E-05 4.11512665037978E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576960_0014_0000_6_cbcd.fits 2006-09-28T16:14:34.760 128. 128. 63.8297450032568 -9.58117886399663 4.15303833199228E-05 4.12422415709295E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576960_0015_0000_6_cbcd.fits 2006-09-28T16:15:15.167 128. 128. 63.8382737336461 -9.57552224088686 4.1014569797812E-05 4.09793469480177E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576960_0016_0000_6_cbcd.fits 2006-09-28T16:15:46.362 128. 128. 63.8382938900969 -9.57552943029583 4.10816091440755E-05 4.10312175049228E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576960_0017_0000_6_cbcd.fits 2006-09-28T16:16:25.971 128. 128. 63.8368951503533 -9.5835928156453 4.1184376751075E-05 4.08276040009304E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576960_0018_0000_6_cbcd.fits 2006-09-28T16:16:57.553 128. 128. 63.8368877772352 -9.58358308005404 4.13529229000507E-05 4.09513327618057E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576960_0019_0000_6_cbcd.fits 2006-09-28T16:17:37.167 128. 128. 63.840249683586 -9.59050488877081 4.11610687295763E-05 4.08486731390656E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576960_0020_0000_6_cbcd.fits 2006-09-28T16:18:08.362 128. 128. 63.8402399783239 -9.59049771736727 3.95382548625275E-05 3.92936567170576E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
