FILENAME,EXPTIME,HDRFRAME,PTGCPD
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I1_17577216_0018_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I1_17577216_0019_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I1_17577216_0020_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I2_17577216_0000_0000_6_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I2_17577216_0001_0000_6_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I2_17577216_0002_0000_6_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I2_17577216_0003_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I2_17577216_0004_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I2_17577216_0005_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I2_17577216_0006_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I2_17577216_0007_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I2_17577216_0008_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I2_17577216_0009_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I2_17577216_0010_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I1_3954944_0000_0000_7_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I1_3954944_0001_0000_7_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I1_3954944_0002_0000_7_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I1_3954944_0003_0000_7_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I1_3954944_0004_0000_7_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I1_3954944_0005_0000_7_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I1_3954944_0006_0000_7_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I1_3954944_0007_0000_7_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I1_3954944_0008_0000_7_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I1_3954944_0009_0000_7_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I2_3954944_0010_0000_7_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I2_3954944_0011_0000_7_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I2_3954944_0012_0000_7_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I2_3954944_0013_0000_7_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I2_3954944_0014_0000_7_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I2_3954944_0015_0000_7_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I2_3954944_0016_0000_7_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I2_3954944_0017_0000_7_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I2_3954944_0018_0000_7_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r3954944/SPITZER_I2_3954944_0019_0000_7_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44501760/SPITZER_I1_44501760_0000_0000_2_cbcd.fits,0.4,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44501760/SPITZER_I1_44501760_0001_0000_2_cbcd.fits,10.4,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44501760/SPITZER_I1_44501760_0002_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44501760/SPITZER_I1_44501760_0003_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44501760/SPITZER_I1_44501760_0004_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44501760/SPITZER_I1_44501760_0005_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44501760/SPITZER_I1_44501760_0006_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44501760/SPITZER_I1_44501760_0007_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44501760/SPITZER_I1_44501760_0008_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44501760/SPITZER_I1_44501760_0009_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502016/SPITZER_I1_44502016_0000_0000_2_cbcd.fits,0.4,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502016/SPITZER_I1_44502016_0001_0000_2_cbcd.fits,10.4,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502016/SPITZER_I1_44502016_0002_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502016/SPITZER_I1_44502016_0003_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502016/SPITZER_I1_44502016_0004_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502016/SPITZER_I1_44502016_0005_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502016/SPITZER_I1_44502016_0006_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502016/SPITZER_I1_44502016_0007_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502016/SPITZER_I1_44502016_0008_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502016/SPITZER_I1_44502016_0009_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502272/SPITZER_I1_44502272_0000_0000_2_cbcd.fits,0.4,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502272/SPITZER_I1_44502272_0001_0000_2_cbcd.fits,10.4,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502272/SPITZER_I1_44502272_0002_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502272/SPITZER_I1_44502272_0003_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502272/SPITZER_I1_44502272_0004_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502272/SPITZER_I1_44502272_0005_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502272/SPITZER_I1_44502272_0006_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502272/SPITZER_I1_44502272_0007_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502272/SPITZER_I1_44502272_0008_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502272/SPITZER_I1_44502272_0009_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502528/SPITZER_I1_44502528_0000_0000_2_cbcd.fits,0.4,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502528/SPITZER_I1_44502528_0001_0000_2_cbcd.fits,10.4,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502528/SPITZER_I1_44502528_0002_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502528/SPITZER_I1_44502528_0003_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502528/SPITZER_I1_44502528_0004_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502528/SPITZER_I1_44502528_0005_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502528/SPITZER_I1_44502528_0006_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502528/SPITZER_I1_44502528_0007_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502528/SPITZER_I1_44502528_0008_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44502528/SPITZER_I1_44502528_0009_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44717824/SPITZER_I1_44717824_0006_0000_2_cbcd.fits,23.6,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44717824/SPITZER_I1_44717824_0007_0000_2_cbcd.fits,23.6,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44717824/SPITZER_I1_44717824_0008_0000_2_cbcd.fits,23.6,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44717824/SPITZER_I1_44717824_0009_0000_2_cbcd.fits,23.6,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44717824/SPITZER_I1_44717824_0010_0000_2_cbcd.fits,23.6,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44717824/SPITZER_I2_44717824_0000_0000_2_cbcd.fits,0.8,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44717824/SPITZER_I2_44717824_0001_0000_2_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44717824/SPITZER_I2_44717824_0002_0000_2_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44717824/SPITZER_I2_44717824_0003_0000_2_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44717824/SPITZER_I2_44717824_0004_0000_2_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44717824/SPITZER_I2_44717824_0005_0000_2_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44772864/SPITZER_I2_44772864_0000_0000_2_cbcd.fits,0.8,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44772864/SPITZER_I2_44772864_0001_0000_2_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44772864/SPITZER_I2_44772864_0002_0000_2_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44772864/SPITZER_I2_44772864_0003_0000_2_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44772864/SPITZER_I2_44772864_0004_0000_2_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r44772864/SPITZER_I2_44772864_0005_0000_2_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49754880/SPITZER_I1_49754880_0000_0000_2_cbcd.fits,0.4,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49754880/SPITZER_I1_49754880_0001_0000_2_cbcd.fits,10.4,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49754880/SPITZER_I1_49754880_0002_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49754880/SPITZER_I1_49754880_0003_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49754880/SPITZER_I1_49754880_0004_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49754880/SPITZER_I1_49754880_0005_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49754880/SPITZER_I1_49754880_0006_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49754880/SPITZER_I1_49754880_0007_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49754880/SPITZER_I1_49754880_0008_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49754880/SPITZER_I1_49754880_0009_0000_2_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49755136/SPITZER_I1_49755136_0000_0000_3_cbcd.fits,0.4,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49755136/SPITZER_I1_49755136_0001_0000_3_cbcd.fits,10.4,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49755136/SPITZER_I1_49755136_0002_0000_3_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49755136/SPITZER_I1_49755136_0003_0000_3_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49755136/SPITZER_I1_49755136_0004_0000_3_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49755136/SPITZER_I1_49755136_0005_0000_3_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49755136/SPITZER_I1_49755136_0006_0000_3_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49755136/SPITZER_I1_49755136_0007_0000_3_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49755136/SPITZER_I1_49755136_0008_0000_3_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r49755136/SPITZER_I1_49755136_0009_0000_3_cbcd.fits,10.4,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0000_0000_1_cbcd.fits,0.8,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0001_0000_1_cbcd.fits,23.6,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0002_0000_1_cbcd.fits,0.8,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0003_0000_1_cbcd.fits,23.6,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0004_0000_1_cbcd.fits,0.8,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0005_0000_1_cbcd.fits,23.6,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0006_0000_1_cbcd.fits,0.8,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0007_0000_1_cbcd.fits,23.6,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0016_0000_1_cbcd.fits,0.8,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0017_0000_1_cbcd.fits,23.6,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0018_0000_1_cbcd.fits,0.8,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0019_0000_1_cbcd.fits,23.6,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0020_0000_1_cbcd.fits,0.8,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0021_0000_1_cbcd.fits,23.6,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0022_0000_1_cbcd.fits,0.8,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0023_0000_1_cbcd.fits,23.6,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0024_0000_1_cbcd.fits,0.8,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0025_0000_1_cbcd.fits,23.6,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r57909248/SPITZER_I1_57909248_0026_0000_1_cbcd.fits,0.8,   short,Yes     
